Account ID	Summoner Name	Rank	Role	Lane	Wins	kills	deaths	assists	goldEarned	goldSpent	magicDamageDealt	magicDamageDealtToChampions	magicalDamageTaken	physicalDamageDealt	physicalDamageDealtToChampions	physicalDamageTaken	trueDamageDealt	trueDamageDealtToChampions	trueDamageTaken	totalDamageDealt	totalDamageDealtToChampions	totalDamageTaken	longestTimeSpentLiving	damageDealtToTurrets	damageDealtToObjectives	totalHeal	totalUnitsHealed	visionScore	wardsPlaced	wardsKilled	visionWardsBoughtInGame	sightWardsBoughtInGame	totalTimeCrowdControlDealt	damageSelfMitigated	timeCCingOthers	totalMinionsKilled	neutralMinionsKilled	largestCriticalStrike	neutralMinionsKilledTeamJungle	neutralMinionsKilledEnemyJungle	champLevel	doubleKills	tripleKills	quadraKills	pentaKills	unrealKills	inhibitorKills	turretKills	killingSprees	largestKillingSpree	largestMultiKill
sizESsMeLrUCpNE9m_TbFbEERhlAZTi0XpTp5f57-UXl9P8	ElectricHuman	SILVER I	DUO_CARRY	BOTTOM	55	8.71	5.81	9.44	12163.21	11161.15	9224.69	3037.7	6724.0	105582.81	18202.9	10579.71	5075.52	522.08	849.01	119883.78	21763.28	18153.45	627.0	4643.17	8442.03	3247.69	2.73	21.31	10.5	2.65	0.16	0.0	114.88	10273.73	16.59	133.21	9.22	694.93	4.38	1.27	13.95	1.15	0.16	0.0	0.0	0.0	0.37	1.63	2.0	4.05	1.69
BrhKmm-z0AwQeVlQ33iCVskpUgxj7DUtYNjig-J15mvm4X0	Витя Булдыга	SILVER I	SOLO	MID	47	5.21	7.17	8.49	9690.51	8783.31	70560.43	15924.49	7314.92	15122.69	1905.88	11210.83	4964.92	1218.53	1031.98	90648.8	19049.65	19558.53	549.09	2491.84	4857.24	3415.65	1.3	25.85	12.64	1.66	2.2	0.0	184.58	13821.82	22.76	104.12	6.6	2.2	4.3	0.48	13.55	0.43	0.05	0.01	0.0	0.0	0.07	0.65	1.21	2.26	1.3
tBvHdFdOGJUzgcFPksrhVL-T5H5j_TsxU6FiHZ1LBwT-K98	LisichkinVitamin	SILVER I	DUO_CARRY	BOTTOM	49	5.98	5.87	8.91	10641.44	9872.07	22786.05	4783.13	7360.71	70580.41	10136.82	12466.79	8439.53	1433.9	1072.12	101806.74	16354.67	20900.47	596.8	2306.05	9403.81	5489.27	3.05	29.57	12.28	2.1	2.58	0.0	149.25	14461.38	23.04	101.92	24.97	342.01	16.58	1.96	13.69	0.58	0.12	0.01	0.01	0.0	0.25	0.92	1.33	2.74	1.41
VdZnAy-jwOR9De8qjhlBuDOb7qVeWtqn_5x73EbPGkJjOgs	Feed Expert	SILVER I	SOLO	MID	55	10.03	6.7	6.27	11854.38	10737.4	22846.53	3710.37	7723.03	100235.49	17468.62	15888.75	7777.86	1194.59	1162.84	130860.62	22374.39	24775.5	534.76	3065.22	10238.69	7056.07	1.1	16.17	5.29	2.66	1.6	0.0	169.79	15420.64	21.27	113.56	42.52	168.39	27.46	4.51	14.09	1.07	0.15	0.01	0.0	0.0	0.12	0.97	2.29	3.93	1.64
CQ9vV00bIB3lCjx_CB2HvkUNW93xK0QBzPlZpqotH_4UOrM	NoobsCanFly	SILVER I	SOLO	TOP	62	7.06	3.2	7.85	11246.44	10866.31	60769.3	13631.32	7246.68	55560.22	7192.43	11421.3	8867.12	1542.59	1005.1	125197.5	22367.01	19673.85	724.95	3565.03	10429.01	4403.0	0.98	32.95	13.34	2.5	4.66	0.0	537.5	16870.51	38.54	122.53	22.29	87.24	11.25	2.22	14.52	0.54	0.05	0.01	0.01	0.0	0.17	1.18	1.43	4.36	1.36
Xobig9fU_bmjWCzzmI_BzjO1DuIals1dUYYAUcjMt7D0s7w	LesnikVolkov	SILVER I	DUO_SUPPORT	BOTTOM	43	6.92	6.06	11.01	11203.32	10157.86	35374.96	10120.98	9108.19	49260.31	7739.3	12305.42	7511.43	1644.54	1182.66	92147.49	19505.59	22597.06	640.32	2745.71	7519.63	5451.07	1.77	22.25	9.04	2.88	1.23	0.0	176.77	17163.67	33.47	97.9	11.21	187.89	6.72	0.94	14.0	0.85	0.13	0.02	0.0	0.0	0.25	0.97	1.67	3.22	1.61
QdRQGDd99zs-X8A2vZVPK0zE1IqNH0uJIl8eecGaazthx8Q	DrkSoul	SILVER I	DUO_CARRY	BOTTOM	49	5.37	5.14	8.76	10596.72	9577.58	8699.71	2341.87	6093.37	88584.95	12394.76	9777.17	5196.88	395.72	662.64	102482.27	15132.92	16533.95	680.01	3331.07	8960.87	2812.66	3.15	16.2	7.98	1.46	0.7	0.0	186.13	10213.79	21.79	135.21	10.57	512.57	6.99	0.48	13.26	0.45	0.05	0.02	0.0	0.0	0.2	1.28	1.29	2.58	1.27
qDYLC9vSsCfzFDMneIWsHm0H-DK8E6hjLay2-OIDvzm67sk	ya BAKA	SILVER I	SOLO	MID	48	8.44	6.45	6.72	11189.25	10130.9	16534.46	3473.85	8846.15	87003.53	14152.8	13296.84	6773.49	1424.92	1355.86	110312.21	19052.24	23499.71	570.41	2718.96	7532.96	5567.01	1.64	13.82	6.87	1.81	0.01	0.0	103.45	15745.0	15.31	110.76	25.52	309.68	17.09	3.66	13.62	1.13	0.26	0.05	0.02	0.0	0.15	0.78	1.91	3.55	1.73
QQuhAPiHuUkRIxTJRyFF4oj2bmpZAn2aMuFQSbj9VcgMPSo	chegovuk	SILVER I	DUO_SUPPORT	BOTTOM	47	2.75	6.49	13.26	8436.81	7497.52	17525.72	5766.27	8111.04	14602.96	3716.31	11289.09	3618.63	690.91	1361.3	35748.07	10174.03	20762.4	566.92	1527.05	3374.13	6908.54	3.5	32.13	15.22	3.35	3.83	0.0	155.79	15828.51	31.69	25.93	6.97	77.82	4.72	0.34	12.78	0.13	0.0	0.0	0.0	0.0	0.08	0.41	0.56	1.49	1.0
0QZLhfbM6UzaMc01gVAXYf4C9D-PCQfDHSsAo0lPgK-mrNk	Evil Dream	SILVER I	DUO_CARRY	BOTTOM	54	9.11	8.44	9.67	11139.67	9871.52	29850.78	6992.02	8461.65	63927.81	14360.31	14701.43	5110.61	1656.51	1079.53	98890.11	23009.64	24243.49	421.18	3361.36	5997.78	7569.52	3.01	20.68	11.1	0.8	0.19	0.0	110.7	14662.34	23.25	93.59	13.13	440.65	7.91	2.4	13.01	1.32	0.2	0.05	0.01	0.0	0.14	1.35	2.05	3.71	1.77
cSWtB2gT2wrbozQoNydrRObe_h5AV2BbUE8m5uRqMdnZ37Y	kostrrr	SILVER I	NONE	JUNGLE	58	6.45	4.3	9.84	11573.13	10483.6	81601.76	8506.63	10700.11	54803.46	5931.43	23775.64	18743.56	943.48	1701.3	155149.49	15382.3	36177.85	647.07	2034.67	18026.1	16903.47	1.4	12.4	2.57	1.03	2.17	0.0	360.55	36276.61	19.48	39.65	113.41	14.4	81.65	7.17	13.96	0.77	0.16	0.02	0.0	0.0	0.26	1.31	1.49	3.68	1.56
7samDZBMebIz_5GMfR2i__2oZIXbXjlQr8AqVlvmvSVNRfg	Lexus2507	SILVER I	SOLO	TOP	53	8.34	6.69	5.06	13594.67	12325.04	22372.56	5180.1	10295.1	142830.07	14724.74	22147.52	10877.64	1515.08	1815.66	176081.02	21420.74	34259.11	555.9	10835.19	21165.38	11205.41	1.08	19.57	9.35	1.39	1.27	0.0	281.99	24927.51	21.34	160.51	34.72	52.52	19.11	6.48	15.17	0.77	0.13	0.03	0.0	0.0	1.0	3.52	1.93	3.45	1.6
VKDCdKAR-KEuBlbs4GsUXKLA_T27qIMKGxXUG5dYpjCTvOI	CHEREPUSHКА	SILVER I	SOLO	BOTTOM	42	5.45	6.43	9.84	9769.94	8907.35	36087.15	8814.39	6998.11	40782.24	6220.97	11505.75	7412.21	1655.82	976.4	84282.39	16691.97	19481.22	533.13	1807.91	4007.98	4939.37	2.68	19.9	9.86	1.68	0.57	0.0	206.48	11918.61	29.99	98.87	9.59	209.64	5.73	1.07	13.12	0.4	0.03	0.0	0.0	0.0	0.07	0.7	1.22	2.5	1.3
LWgO3fAoZrfI9MYxfmAgfPdU_j0K3ikpHoMNc_nrCvvzhgA	KillingJ0ke	SILVER I	SOLO	TOP	51	5.25	4.48	8.57	10401.92	9494.26	19343.36	4211.35	8492.26	76024.15	11859.31	15742.82	7697.55	1037.01	1881.49	103065.69	17108.32	26117.44	692.01	2855.4	9113.68	6643.19	1.98	21.84	9.11	1.89	1.85	0.0	149.8	25767.49	27.46	111.65	19.77	65.74	11.46	1.52	13.78	0.47	0.04	0.0	0.0	0.0	0.14	0.99	1.16	2.78	1.32
1iefNbIsafZL7CgXsqI3O14eWauhmozjDlcu_arIWxXPt4o	SELFDESTRUCT	SILVER I	DUO_CARRY	BOTTOM	46	5.02	4.84	8.71	9823.62	8673.41	15636.56	4559.95	6102.06	67079.36	10387.31	10238.3	7505.28	982.8	856.91	90221.98	15930.75	17198.15	624.33	2907.86	6754.95	4031.21	2.6	29.14	12.17	2.65	2.58	0.0	159.44	12443.15	22.01	109.18	13.2	278.35	7.94	1.16	12.98	0.65	0.14	0.02	0.0	0.0	0.17	0.9	1.04	2.64	1.22
wX8lqIQCr0Q5HIeL4GpV3MbMB7q8B2qnVhHnBODcbzZl7MI	Smurf in Bronze	SILVER I	NONE	JUNGLE	59	7.73	6.23	8.69	12133.48	10888.5	56866.96	6746.46	9027.97	87484.67	10077.42	18154.32	14002.18	1702.46	1414.98	158354.69	18527.1	28598.13	633.11	2504.93	21195.76	10843.78	2.5	20.09	5.04	2.44	1.35	0.0	227.6	22537.94	20.07	76.27	91.56	187.49	59.57	8.49	14.55	0.82	0.12	0.02	0.0	0.0	0.21	1.17	1.73	3.42	1.5
